address,Study_at_home,Drive,Passenger_in_a_car_truck_or_van,Public_transport,Bicycle,Walk_or_jog,Other
Abbey Caves-Glenbervie,10.6,12.6,61.3,23.1,2.4,2.4,2.4
Abbotsford,7.4,10.1,44.1,21.6,4.4,18.2,2.0
Acacia Bay,12.1,6.5,53.3,35.6,3.3,3.3,3.3
Addington East,14.0,23.2,17.4,15.8,8.1,21.0,2.2
Addington West,13.8,17.7,12.0,23.1,6.1,25.5,1.9
Ahipara,6.2,1.6,52.2,27.0,4.8,6.6,1.6
Ahuriri,25.4,15.9,19.8,26.0,14.8,6.5,6.5
Aidanfield,8.6,17.3,49.6,20.1,4.5,10.1,2.6
Aka Aka,11.0,9.8,60.8,24.6,2.3,4.1,2.3
Akaroa,5.2,5.2,37.5,20.8,5.2,39.6,5.2
Akaroa Harbour,14.2,1.9,36.4,42.0,1.9,1.9,1.9
Akatarawa,29.2,6.0,27.7,49.6,6.0,6.0,6.0
Akina Park,11.7,7.2,44.3,11.1,4.9,22.9,2.0
Akoranga,2.1,2.1,5.0,26.6,2.1,59.9,2.1
Albany Central,5.6,12.4,6.3,8.2,1.4,68.0,1.4
Albany Heights,8.2,25.3,41.7,30.2,2.7,7.1,2.7
Albany South,5.8,14.8,32.1,20.6,3.6,26.5,1.6
Albany West,7.0,13.2,23.4,15.8,4.2,37.5,1.3
Albert Town,10.9,3.4,37.0,43.2,4.1,2.8,0.7
Aldinga,10.3,7.4,37.4,7.0,16.5,23.4,1.4
Alexandra North,10.6,1.9,27.3,0.6,13.7,44.7,1.2
Alexandra South,12.3,2.9,38.1,3.2,14.4,28.4,0.8
Alfriston,10.2,12.3,46.2,23.5,3.5,18.5,3.5
Algies Bay-Scotts Landing,13.7,1.5,31.6,48.7,1.5,1.5,1.5
Alicetown-Melling,11.3,5.5,26.1,11.4,1.6,42.4,1.6
Allandale,11.4,4.5,41.2,4.9,4.7,34.7,1.2
Allenton East,9.3,4.5,52.4,10.1,2.5,23.5,2.5
Allenton North,11.3,7.9,51.9,16.5,5.8,28.5,3.5
Allenton South,12.7,3.4,49.4,8.3,2.1,29.0,3.5
Amberley,15.0,5.8,31.8,30.4,9.2,17.9,1.5
Amuri,7.9,2.1,24.4,46.8,2.9,19.1,1.1
Andersons Bay,9.2,12.1,41.1,11.2,2.0,27.5,3.0
Aniseed Valley,12.3,10.0,30.9,48.2,4.4,4.4,4.4
Anselmi Ridge,6.3,4.4,67.8,19.4,1.7,6.9,1.7
Anzac Avenue,10.2,2.4,2.4,13.5,2.4,76.9,2.4
Aokautere,12.6,12.6,43.4,26.8,2.5,2.5,2.5
Aokautere Rural,16.6,15.5,56.8,33.5,6.0,6.0,6.0
Aongatete,14.4,8.5,33.3,46.7,1.0,1.0,1.0
Aorangi Forest,10.2,2.1,38.5,42.8,2.1,2.1,2.1
