address,Work_at_home,Drive,Passenger_in_a_car_truck_van_or_company_bus,Public_transport,Bicycle,Walk_or_jog,Other
Abbey Caves-Glenbervie,24.8,71.4,2.2,6.7,2.2,2.2,2.2
Abbotsford,11.9,78.7,4.0,6.5,1.9,2.4,1.9
Acacia Bay,27.6,68.0,1.7,5.1,1.7,1.7,1.7
Addington East,9.7,55.7,3.3,9.3,9.7,12.3,2.8
Addington West,12.5,55.4,3.2,11.9,8.7,11.2,3.2
Ahipara,19.4,71.0,2.9,3.4,1.1,1.1,1.1
Ahuriri,27.9,55.1,2.9,8.8,4.7,9.0,2.9
Aidanfield,15.6,71.4,2.6,8.7,3.4,3.2,2.6
Aka Aka,36.5,55.0,2.3,5.3,1.8,2.3,2.6
Akaroa,36.8,30.8,1.4,4.3,1.4,23.7,1.4
Akaroa Harbour,51.8,41.8,0.9,2.8,0.9,3.9,0.9
Akatarawa,36.2,40.1,3.9,16.5,3.9,6.0,3.9
Akina Park,13.6,66.2,4.4,7.8,2.6,7.1,2.6
Akoranga,20.9,43.8,4.2,15.4,4.2,10.3,4.2
Albany Central,20.4,42.7,3.2,9.5,3.2,17.8,3.2
Albany Heights,15.7,62.9,4.7,15.0,2.2,2.9,2.2
Albany South,16.2,59.0,3.5,14.3,2.7,5.8,2.7
Albany West,18.3,58.2,3.3,13.2,2.5,5.3,2.5
Albert Town,24.4,64.7,2.8,2.6,2.5,3.9,0.9
Aldinga,15.8,71.3,1.9,3.9,3.1,4.5,1.9
Alexandra North,15.8,60.6,3.7,1.7,6.0,12.5,0.6
Alexandra South,14.5,66.6,2.5,1.8,5.3,8.9,0.6
Alfriston,14.1,74.1,3.2,8.8,2.6,2.6,2.6
Algies Bay-Scotts Landing,39.3,53.5,3.1,9.3,3.1,3.1,3.1
Alicetown-Melling,12.9,42.5,2.5,31.3,3.3,6.6,2.1
Allandale,15.6,70.5,2.7,3.9,3.8,6.9,1.3
Allenton East,12.1,74.6,2.0,4.0,2.3,5.1,1.3
Allenton North,13.2,76.6,2.5,3.4,1.7,1.8,1.1
Allenton South,12.0,73.0,3.4,3.1,2.4,5.0,1.0
